"Tag","Sector"
"Project Management","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Entrepreneurship","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Process Integration","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Design verification","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Objectives","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Decision Making","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Design automation","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Power-aware computing","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Business","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Focus","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Reliability","Energy, Agriculture, Manufacturing & Devices, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Testing and verification","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Managing Competencies","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Innovation","Communications, Entertainment, Transportation, Defense, Environment, Computing & IT, Financial Services, Healthcare, Education, Energy, Manufacturing & Devices, Agriculture, Critical Infrastructure, Retail"
"Embedded Systems","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Hardware/software co-design","Environment, Energy, Education, Computing & IT, Healthcare, Retail, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Financial Services, Transportation"
"Timing","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Design for manufacture","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Evaluating personnel","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"Finding opportunities","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"Solving problems","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"design","Environment, Energy, Education, Healthcare, Retail, Entertainment, Manufacturing & Devices, Critical Infrastructure, Defense, Agriculture, Financial Services, Transportation"
"Finding problems","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
